,Follower ID,name,username,bio,bio,created_at,Public Metrics,profile image url
0,1317599443,Kristen Richards,KTownR,MMA Enthusiast| beginner bettor | 🇨🇦 | Owner of Cats,Canada,2013-03-31 02:46:00+00:00,"{'followers_count': 199, 'following_count': 851, 'tweet_count': 738, 'listed_count': 1}",https://pbs.twimg.com/profile_images/750546031440457729/qyKZwfmy_normal.jpg
1,1508566337462939651,Alfieo1000,alfieo1000,,,2022-03-28 22:07:05+00:00,"{'followers_count': 23, 'following_count': 274, 'tweet_count': 47, 'listed_count': 0}",https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
2,85781863,T🥰,Fabthatolous,,The North... wherever actually,2009-10-28 09:45:01+00:00,"{'followers_count': 743, 'following_count': 852, 'tweet_count': 5708, 'listed_count': 1}",https://pbs.twimg.com/profile_images/1252102762885713920/5MR2PjjH_normal.jpg
3,1381291510893842433,Kylie,Kygomm,,,2021-04-11 17:02:24+00:00,"{'followers_count': 12, 'following_count': 257, 'tweet_count': 32, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1514424480667516928/O4e8l60w_normal.jpg
4,1248805591532875776,fame.daedae,FameDaedae1,,"Southwest, Washington",2020-04-11 02:50:38+00:00,"{'followers_count': 30, 'following_count': 295, 'tweet_count': 116, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1248807954779906049/xxwmrYQj_normal.jpg
5,3101638335,SmokeWeedEvryDay,OnePointFive214,,"Dallas, TX",2015-03-21 11:59:39+00:00,"{'followers_count': 229, 'following_count': 1354, 'tweet_count': 1991, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1525880437054267393/WXJl0HX7_normal.jpg
6,3042370256,Gus,1fatgus,,,2015-02-26 04:13:59+00:00,"{'followers_count': 283, 'following_count': 279, 'tweet_count': 1458, 'listed_count': 2}",https://pbs.twimg.com/profile_images/1418043324154454017/7GbKCUw__normal.jpg
7,1524739186095542273,ken masinde,kenmasinde6,Ever happy,"Nyahururu, Kenya",2022-05-12 13:12:25+00:00,"{'followers_count': 9, 'following_count': 56, 'tweet_count': 1, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1525490099928059906/6D68b2cn_normal.jpg
8,242968227,Matty Skanks,BigCat773,,,2011-01-26 00:44:52+00:00,"{'followers_count': 153, 'following_count': 299, 'tweet_count': 1970, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1586385802/image_normal.jpg
9,3065524322,Johnny Eckel,eckeljohnny26,"Look up, get up, but don't you ever give up. WHS '16 XU '20.","Wall, NJ",2015-03-06 23:52:46+00:00,"{'followers_count': 1328, 'following_count': 2389, 'tweet_count': 8139, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1479627785526206465/QSFhLeFI_normal.jpg
10,178850046,Taylor’s Best Bets,TLANES11,I spend my days digging for the best props!!! I post most my picks. 37-17 record this month. Let’s goooo!!,,2010-08-15 21:31:39+00:00,"{'followers_count': 186, 'following_count': 2384, 'tweet_count': 1773, 'listed_count': 1}",https://pbs.twimg.com/profile_images/1301337353496096768/TZDOr8co_normal.jpg
11,988944177693048833,Patrick Brady,Patrick23278330,,,2018-04-25 00:54:00+00:00,"{'followers_count': 41, 'following_count': 190, 'tweet_count': 11, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1483598979933908995/xLdX3eGi_normal.jpg
12,592311285,Ryan Ferrara,ryfar33,,,2012-05-27 23:32:04+00:00,"{'followers_count': 362, 'following_count': 1222, 'tweet_count': 11612, 'listed_count': 1}",https://pbs.twimg.com/profile_images/2264425462/zvdk0779u705dku3z41b_normal.jpeg
13,2326047265,Matt Hall Sr.,mhall1132,,,2014-02-03 21:05:28+00:00,"{'followers_count': 90, 'following_count': 702, 'tweet_count': 208, 'listed_count': 0}",https://pbs.twimg.com/profile_images/721854132118798336/E0LPevxD_normal.jpg
14,1463896288836030470,KangDin,KangDin921,laki laki biasa nothing special,,2021-11-25 15:44:19+00:00,"{'followers_count': 7, 'following_count': 15, 'tweet_count': 60, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1463896723273568261/z5jCE5qZ_normal.jpg
15,1257082410811998208,Robert Shellenberger,RobertS76233637,4 for 4 Philly Sports Fan (realist) and die hard UNC Tarheel Basketball fan.,,2020-05-03 23:00:42+00:00,"{'followers_count': 103, 'following_count': 644, 'tweet_count': 2364, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1416603515061944323/wZiAWHDy_normal.jpg
16,1270411538013270019,Njord Fjord,MellyYB23,Vamos!!,"Brooklyn, NY",2020-06-09 17:45:07+00:00,"{'followers_count': 57, 'following_count': 102, 'tweet_count': 862, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1465677440819335170/BTYUw4XP_normal.jpg
17,411159252,Tony Costello,TonyCostello37,"Husband, Father, Christian, Referee, Coach, MSU Spartan Grad, and sports nut!",Michigan ,2011-11-13 02:19:53+00:00,"{'followers_count': 286, 'following_count': 693, 'tweet_count': 3787, 'listed_count': 3}",https://pbs.twimg.com/profile_images/1155835002170609664/6th69qqB_normal.jpg
18,394965075,mike,mikeboy1976,,,2011-10-20 22:23:47+00:00,"{'followers_count': 21, 'following_count': 233, 'tweet_count': 131, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1736429039/IMG-20111208-00005_normal.jpg
19,1144740243364634625,Firmin,Firmindoi,,,2019-06-28 22:51:57+00:00,"{'followers_count': 75, 'following_count': 286, 'tweet_count': 1463, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1502099425732317187/iTGRt9YU_normal.jpg
20,1037716491540545536,PicksCity.com,PicksCity,https://t.co/42bsQZxDLj is the destination for BEST sports picks in the industry provided by marketplace of TOP sports handicapping professionals that cover ALL SPORTS!,,2018-09-06 14:57:46+00:00,"{'followers_count': 11638, 'following_count': 9788, 'tweet_count': 70032, 'listed_count': 105}",https://pbs.twimg.com/profile_images/1299056422404214784/NQ9iFEU__normal.jpg
21,1311925878088257536,Max,only1max,,,2020-10-02 07:08:23+00:00,"{'followers_count': 53, 'following_count': 2671, 'tweet_count': 747, 'listed_count': 0}",https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
22,1069175478307704832,Dr. Eclipx,DEclipx,,,2018-12-02 10:24:33+00:00,"{'followers_count': 3, 'following_count': 80, 'tweet_count': 4, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1324334079412633601/AcqNr14D_normal.jpg
23,1525571468184141825,Yeezydabook,yeezydabook,"Free picks, Yeezy taught me. NHL, MLB, and NBA. Stonkz",Red Octobers,2022-05-14 20:19:26+00:00,"{'followers_count': 262, 'following_count': 469, 'tweet_count': 10, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1525572350128922626/yh4lsOOE_normal.jpg
24,1350493597,Mr sports & music,canadyjay,,,2013-04-13 23:27:24+00:00,"{'followers_count': 235, 'following_count': 515, 'tweet_count': 125, 'listed_count': 0}",https://pbs.twimg.com/profile_images/449938165915480064/v-cpPqWD_normal.jpeg
25,1481150307677532161,Ralviolis,ralviolis,,,2022-01-12 06:25:34+00:00,"{'followers_count': 2, 'following_count': 19, 'tweet_count': 8, 'listed_count': 0}",https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
26,1519375971983495168,LIL $AM,lil_zam29,"Picks, apuestas y más ⚽🏟️🥅 tipsters💰 iniciando
Unete a este canal para consejos y recomendaciones gratis",,2022-04-27 18:01:01+00:00,"{'followers_count': 97, 'following_count': 798, 'tweet_count': 106, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1519401447120642048/VELKppTG_normal.jpg
27,41719706,B. Fuddled,Ohjaywash,just trying to not be a hashtag.,"New Jersey, USA",2009-05-22 01:15:11+00:00,"{'followers_count': 860, 'following_count': 895, 'tweet_count': 55149, 'listed_count': 2}",https://pbs.twimg.com/profile_images/1287949597780959234/Qqp1lyzD_normal.jpg
28,1523805449484648449,פיטר מסלילה ראיוס,brendoncrybaby,"אם המוח שלי הוא הבטן אז אני קילקול קיבה 
ולטוייטר באתי כדי לשלשל מהפה.
(mma,bjj,mhfc)",חיפה,2022-05-09 23:21:52+00:00,"{'followers_count': 22, 'following_count': 345, 'tweet_count': 93, 'listed_count': 1}",https://pbs.twimg.com/profile_images/1523805852788047872/xN8MXUFg_normal.jpg
29,1496542838020087811,Ghost Capper,GhostCapperSBH,At the end of the day we’re in it for the units 🤝 Active telegram channel 300+ subscribers dm for link!,Somewhere Cashing ,2022-02-23 17:50:02+00:00,"{'followers_count': 21, 'following_count': 30, 'tweet_count': 90, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1513169955138723847/0CRWH0zz_normal.jpg
30,881722239690866688,THEO🍥,TheoNyakane_bw,Graphic Designer!  Proud Manchester United fan❗️,"Serowe,Botswana",2017-07-03 03:52:18+00:00,"{'followers_count': 66, 'following_count': 332, 'tweet_count': 136, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1413061445118476289/ghj_kqrg_normal.jpg
31,2437112197,René,renegufler,creative mind,St. Martin,2014-04-10 14:35:14+00:00,"{'followers_count': 82, 'following_count': 491, 'tweet_count': 1124, 'listed_count': 4}",https://pbs.twimg.com/profile_images/1381650949522001922/FehwI9un_normal.jpg
32,1515537169540161536,PvB Bets,PvbBets,"FREE ⚾ betting data and plays. Pitcher and hitter prop sheets drop at 10AM each morning. Plays on straight bets, player props and parlays. Gamble responsibly 🤝",,2022-04-17 03:46:53+00:00,"{'followers_count': 695, 'following_count': 1426, 'tweet_count': 832, 'listed_count': 6}",https://pbs.twimg.com/profile_images/1516223672650022919/JBGgc60w_normal.jpg
33,828277827330007040,RudyNelson,RudyNelson18,insta _Rudynelson,"Billingham, England",2017-02-05 16:23:17+00:00,"{'followers_count': 117, 'following_count': 607, 'tweet_count': 1390, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1266256376570900480/KCjNH7CR_normal.jpg
